"","id","Longitude","Latitude","Area","OceanRegionCode","IsHome","SWF_BYT","SWF_YFT","SWF_SWF","SWF_OTHER","TUNA_BYT","TUNA_YFT","TUNA_SWF","TUNA_OTHER","SWF_LOG","SWF_LTH","TUNA_LOG","TUNA_LTH"
"1",1,135,0,5,"EPO",0,68.3951221142087,14.7347126212936,174.493994214606,-171.73882382579,578.092537261923,198.217783196817,31.3531876103308,255.184516014177,0,0,0,0
"2",2,136,0,5,"EPO",0,-9999,-9999,-9999,-9999,475.499285912451,149.430406372336,56.4584188499654,256.624691481226,0,0,0,0
"3",3,137,0,5,"EPO",0,-9999,-9999,-9999,-9999,371.586997371707,80.6158445497248,51.4617035106933,271.55226579306,0,0,0,0
"4",4,138,0,5,"EPO",0,157.453233554991,14.1682270113165,861.504421996021,56.0424989237594,-9999,-9999,-9999,-9999,0,0,0,0
"5",5,139,0,5,"EPO",0,86.8371887421363,62.6081199591687,289.239299959394,99.7365404166839,398.435920944355,181.23322884726,44.9483070065287,371.888494440389,0,0,0,0
"6",6,140,0,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"7",7,141,0,5,"EPO",0,-9999,-9999,-9999,-9999,515.250815164495,47.3971736236044,49.9178498924586,216.342862333964,0,0,0,0
"8",8,142,0,5,"EPO",0,-9999,-9999,-9999,-9999,760.310738472725,164.612427165111,58.1859173576027,221.257480996353,0,0,0,0
"9",9,143,0,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"10",10,144,0,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"11",11,145,0,5,"EPO",0,-9999,-9999,-9999,-9999,453.097671312028,151.161388770547,43.8741905858865,556.938160042793,0,0,0,0
"12",12,146,0,5,"EPO",0,-9999,-9999,-9999,-9999,591.177335984919,128.746361696316,97.5200415857112,258.910382037068,0,0,0,0
"13",13,147,0,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"14",14,148,0,5,"EPO",0,-15.0021304549492,-6.28222071624445,-41.6519639978659,-234.91359896764,-9999,-9999,-9999,-9999,0,0,0,0
"15",15,149,0,5,"EPO",0,-9999,-9999,-9999,-9999,502.214897087612,-11.363922399571,49.5230546227429,418.367376908335,0,0,0,0
"16",16,150,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"17",17,151,0,5,"WCPO",0,-9999,-9999,-9999,-9999,337.879025041507,219.194378015227,-0.131924366190098,206.872172885308,0,0,0,0
"18",18,152,0,5,"WCPO",0,-9999,-9999,-9999,-9999,482.263511809294,94.6112182408528,35.0357265264615,407.327456789827,0,0,0,0
"19",19,153,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"20",20,154,0,5,"WCPO",0,178.897527345836,34.5054941270007,457.731181672092,193.476173585679,271.780782222294,266.004041567137,31.9466886323656,395.789520081615,0,0,0,0
"21",21,155,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"22",22,156,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"23",23,157,0,5,"WCPO",0,-9999,-9999,-9999,-9999,473.294012480548,66.7333558942909,52.1301236386119,284.722547787541,0,0,0,0
"24",24,158,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"25",25,159,0,5,"WCPO",0,-9999,-9999,-9999,-9999,351.706347226195,196.289270645261,-4.46072038658269,177.432487049237,0,0,0,0
"26",26,160,0,5,"WCPO",0,-9999,-9999,-9999,-9999,538.483854393019,100.512751003127,39.1121094908625,157.538473455111,0,0,0,0
"27",27,161,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"28",28,162,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"29",29,163,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"30",30,164,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"31",31,165,0,5,"WCPO",0,165.652368443665,16.8726520298252,582.224366838778,-61.3918313675089,-9999,-9999,-9999,-9999,0,0,0,0
"32",32,166,0,5,"WCPO",0,188.460013949938,36.2350021260722,718.703735757416,152.388592680455,503.376291359821,8.64252215055431,25.179194550467,425.828111122604,0,0,0,0
"33",33,167,0,5,"WCPO",0,-9999,-9999,-9999,-9999,451.960756129078,98.3507395624962,51.4357534804295,404.904289636115,0,0,0,0
"34",34,168,0,5,"WCPO",0,-9999,-9999,-9999,-9999,585.800143470845,29.5007445231663,68.1157655326292,240.501880358229,0,0,0,0
"35",35,169,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"36",36,170,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"37",37,171,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"38",38,172,0,5,"WCPO",0,160.981085998753,-22.4428479095326,1784.53939774524,77.5348110190357,-9999,-9999,-9999,-9999,0,0,0,0
"39",39,173,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"40",40,174,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"41",41,175,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"42",42,176,0,5,"WCPO",0,-9999,-9999,-9999,-9999,372.915113284006,134.844102634126,105.943823480745,107.283727131749,0,0,0,0
"43",43,177,0,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"44",44,178,0,5,"WCPO",0,-9999,-9999,-9999,-9999,641.460754583275,142.559305671945,29.6314337219049,297.795170384245,0,0,0,0
"45",45,179,0,5,"WCPO",0,-9999,-9999,-9999,-9999,595.629779012867,209.264954189545,24.5913787339586,177.698126329579,0,0,0,0
"46",46,135,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"47",47,136,1,5,"EPO",0,-9999,-9999,-9999,-9999,505.21188644295,31.4801520559919,41.2433300023244,350.285610663701,0,0,0,0
"48",48,137,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"49",49,138,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"50",50,139,1,5,"EPO",0,231.47057591243,90.2375193644397,1126.79193400556,116.379310165461,318.747790917056,100.577378313138,62.9911509875606,265.115582675729,0,0,0,0
"51",51,140,1,5,"EPO",0,42.6798792044084,93.8926110411985,-51.3059257605669,-41.0534484535233,183.917974687752,48.1751014929713,45.3923371042906,360.128463926289,0,0,0,0
"52",52,141,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"53",53,142,1,5,"EPO",0,54.3744873475312,77.2211326755724,142.830986903617,252.38990209722,481.657431347919,244.936175168296,32.7698903862493,434.06462675546,0,0,0,0
"54",54,143,1,5,"EPO",0,-9999,-9999,-9999,-9999,367.901495768482,64.043814734495,53.1585043445996,286.466706866692,0,0,0,0
"55",55,144,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"56",56,145,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"57",57,146,1,5,"EPO",0,-9999,-9999,-9999,-9999,596.083440228326,159.502418627763,34.6060076401346,344.654806062368,0,0,0,0
"58",58,147,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"59",59,148,1,5,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"60",60,149,1,5,"EPO",0,-9999,-9999,-9999,-9999,436.836373139179,95.1019760786907,53.3499872180657,122.456559870367,0,0,0,0
"61",61,150,1,5,"WCPO",0,-6.30360481706126,54.654588850581,-381.027859377986,46.1048091715923,-9999,-9999,-9999,-9999,0,0,0,0
"62",62,151,1,5,"WCPO",0,-9999,-9999,-9999,-9999,714.963959484689,49.8992773657511,35.5946946299209,243.563826631226,0,0,0,0
"63",63,152,1,5,"WCPO",0,-9999,-9999,-9999,-9999,398.006113796299,163.557240602755,47.1762358768776,428.286754071039,0,0,0,0
"64",64,153,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"65",65,154,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"66",66,155,1,5,"WCPO",0,-9999,-9999,-9999,-9999,341.725447336264,91.7284837368702,49.1830689305981,413.653717741381,0,0,0,0
"67",67,156,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"68",68,157,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"69",69,158,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"70",70,159,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"71",71,160,1,5,"WCPO",0,-9999,-9999,-9999,-9999,503.364009850761,95.8179312676516,65.0423750913865,385.435940266285,0,0,0,0
"72",72,161,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"73",73,162,1,5,"WCPO",0,-9999,-9999,-9999,-9999,428.441257024477,173.461169969528,74.6326009255313,328.59046036127,0,0,0,0
"74",74,163,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"75",75,164,1,5,"WCPO",0,132.98901316999,82.2648140096125,1271.9965567153,-17.6211980020534,-9999,-9999,-9999,-9999,0,0,0,0
"76",76,165,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"77",77,166,1,5,"WCPO",0,187.163687208905,129.035888276702,-494.678760247259,146.360329645787,452.482284328505,21.4645018232521,76.1147978255551,370.135190085692,0,0,0,0
"78",78,167,1,5,"WCPO",0,-9999,-9999,-9999,-9999,135.549992546534,141.631656811796,76.4374552086012,235.131944895346,0,0,0,0
"79",79,168,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"80",80,169,1,5,"WCPO",0,-9999,-9999,-9999,-9999,998.15783371453,150.644882613406,32.0775410590134,316.049153175929,0,0,0,0
"81",81,170,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"82",82,171,1,5,"WCPO",0,173.565790877719,142.169149995199,392.46943541323,9.78668281242973,-9999,-9999,-9999,-9999,0,0,0,0
"83",83,172,1,5,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"84",84,173,1,5,"WCPO",0,-9999,-9999,-9999,-9999,542.419395408723,-33.1426945605001,35.4982024296401,356.350573702272,0,0,0,0
"85",85,174,1,5,"WCPO",0,-9999,-9999,-9999,-9999,390.373848344437,126.843268586583,37.7944836709061,363.337071217646,0,0,0,0
