JulianDay,BYT,YFT,SWF,OTHER
1,5.84,4.57,1.03,1.42
2,3.68,2.88,2,1.52
3,3.61,2.87,2,1.64
4,3.79,3.32,2.93,1.7
5,3.47,2.96,2.95,1.78
6,3.79,3.38,2.48,1.98
7,3.59,3.19,3.14,1.94
8,3.52,3.36,3.62,1.9
9,4.05,3.71,3.58,2.1
10,3.45,3.1,3.27,2.23
11,3.52,2.96,3.36,1.96
12,3.5,3.16,3.22,1.91
13,3.32,3.02,2.9,2.07
14,2.93,2.59,3.04,1.87
15,3.2,2.67,2.92,1.83
16,3.62,2.89,3.01,2.13
17,2.91,2.51,3.8,1.99
18,3.34,2.82,3.75,1.95
19,3.44,2.91,2.92,2.01
20,3.09,2.7,3.33,1.91
21,2.83,2.59,2.51,1.65
22,2.55,2.34,3.26,1.65
23,2.98,2.3,2.9,1.67
24,2.25,1.93,2.32,1.63
25,2.67,2.08,2.87,1.64
26,2.98,2.12,2.57,1.72
27,3.18,2.49,2.59,1.72
28,3.21,2.47,3.51,1.75
29,2.97,2.36,2.61,1.45
30,3.02,2.41,2.26,1.66
31,2.73,2.01,2.81,1.78
32,2.99,2.28,2.58,1.77
33,2.81,2.2,2.6,1.74
34,3,2.47,2.65,1.66
35,2.73,2.59,2.8,1.63
36,2.96,2.54,2.97,1.75
37,3.84,2.87,2.01,1.81
38,2.99,2.1,2.04,1.7
39,3.52,2.51,2.42,1.83
40,3.93,3.14,2.24,2.04
41,3.68,3.34,1.78,2.16
42,3.36,2.79,2.45,1.95
43,3.41,2.64,2.39,1.81
44,3.62,2.37,2.38,1.94
45,3.51,2.97,2.58,2
46,3.16,2.66,1.86,1.72
47,4,3.33,2.45,1.94
48,3.72,3.24,1.79,2.08
49,4.2,2.58,2.36,2.18
50,3.37,2.86,1.81,1.86
51,3.95,3.06,2.42,2.11
52,3.9,3.08,2.54,2
53,3.6,2.82,2.34,1.93
54,3.74,3.45,2.51,1.99
55,3.57,3.43,2.59,1.98
56,3.73,3.16,2.35,1.98
57,3.88,3.12,2.77,2.29
58,3.68,3.47,2.32,2.03
59,3.8,3,2.18,2
60,3.58,3.04,2.24,2.05
61,3.41,2.91,1.96,1.98
62,3.32,2.97,1.95,1.92
63,3.69,3.16,1.39,2.03
64,3.6,2.94,2.1,2.04
65,3.68,3.35,1.95,1.97
66,3.77,3.11,2.3,1.96
67,3.74,3.15,1.78,1.92
68,3.85,3.41,2.1,1.97
69,3.71,3.23,1.87,2.04
70,3.95,3.34,1.89,2
71,3.86,3.52,2.61,1.87
72,4.02,3.53,2.5,1.89
73,4.52,3.3,2.05,1.85
74,4.28,3.77,1.94,2.16
75,4.27,3.48,2,1.97
76,3.73,3.1,2.18,1.98
77,3.87,2.83,2.25,2.05
78,4.19,3.52,2.28,2.06
79,4.58,3.63,2.51,1.89
80,3.85,3.25,2.38,1.82
81,3.91,3.38,2.13,1.66
82,3.78,3.3,2.05,1.56
83,4.05,3.34,2.11,1.73
84,5.13,4.36,1.88,1.72
85,4.67,3.62,1.92,1.79
86,4.46,3.57,1.53,1.75
87,4.58,4.03,1.84,1.9
88,5.05,4.3,1.86,1.83
89,5.1,3.87,1.78,1.94
90,5.64,4.53,1.81,2.12
91,5.01,4.28,1.61,1.81
92,5.47,4.58,1.72,2.07
93,4.7,4.05,1.53,2.06
94,4.86,4.24,2.02,2.18
95,4.47,3.53,1.53,1.89
96,4.26,3.29,1.53,1.72
97,4.46,3.61,1.67,1.77
98,4.09,3.51,1.39,1.87
99,4.15,3.47,1.73,1.94
100,4.15,3.14,1.57,1.61
101,5.04,3.63,1.12,1.59
102,4.35,3.41,1.51,1.69
103,4.32,3.16,1.7,1.76
104,3.78,2.99,1.44,1.72
105,4.18,3.23,1.71,1.67
106,3.98,2.82,1.88,1.6
107,3.74,2.49,2.01,1.58
108,3.75,2.85,1.75,1.62
109,3.61,3.1,1.92,1.52
110,4.32,3.4,1.89,1.66
111,4.03,3.31,2.46,1.7
112,4.25,3.66,1.91,1.47
113,3.99,3.2,1.79,1.54
114,4.98,3.95,2.32,1.64
115,4.42,2.96,2.44,1.66
116,4.46,3.47,2.22,1.7
117,4.79,4.14,2.07,1.88
118,4.12,3.46,2.42,1.68
119,4.55,3.73,1.79,1.6
120,3.81,3.21,1.64,1.54
121,3.93,3.58,1.85,1.64
122,3.85,2.94,1.8,1.77
123,4.08,3.37,1.99,1.56
124,4.2,3.15,1.7,1.56
125,4.02,2.71,2.4,1.54
126,4.03,3.48,2.01,1.4
127,3.99,2.77,1.91,1.46
128,3.84,2.62,2.17,1.49
129,3.58,2.74,1.79,1.41
130,3.47,2.47,1.89,1.28
131,3.39,2.69,1.83,1.16
132,3.6,2.77,2.23,1.26
133,4.24,3.41,2,1.04
134,3.25,2.35,1.59,1.24
135,3.23,2.36,1.89,1.27
136,3.48,2.36,1.79,1.08
137,3.43,2.49,1.62,1.16
138,3.65,3.05,1.69,1.27
139,3.34,2.89,2.19,1.22
140,3.83,3.21,2.14,1.18
141,3.43,3.16,2.25,1.21
142,3.8,2.93,2.12,1.31
143,4.04,3.19,2.57,1.26
144,3.91,3.25,2.18,1.3
145,3.95,3.52,2.38,1.38
146,4.03,3.79,2.46,1.49
147,3.64,2.25,1.3,1.32
148,4.18,3.82,1.86,1.27
149,4.14,3.87,2.41,1.62
150,3.51,2.81,2.25,1.26
151,3.97,2.87,2.26,1.34
152,3.62,3.23,2.38,1.32
153,3.24,2.62,2.63,1.57
154,3.36,2.6,2.38,1.42
155,3.57,2.98,2.67,1.53
156,4.61,4.16,2.65,1.77
157,3.51,2.82,2.52,1.66
158,3.54,3.04,2.11,1.41
159,3.2,2.77,2.39,1.58
160,3.18,2.68,2.29,1.6
161,2.92,2.32,2.12,1.4
162,2.96,2.72,2.43,1.33
163,3.02,2.96,2.34,1.42
164,2.92,2.48,1.99,1.2
165,3.18,2.23,2.12,1.24
166,3.33,2.62,2.25,1.26
167,3.3,2.84,2.11,1.62
168,3.89,3.3,2.56,1.67
169,4,3.13,2.42,1.59
170,3.58,3,2.71,1.76
171,4.93,3.9,2.57,1.72
172,3.67,2.79,2.67,1.75
173,4.11,3.02,2.52,2.03
174,3.76,3.63,2.47,2.05
175,4.1,3.74,2.68,2.06
176,4.01,3.34,2.94,2.04
177,3.87,2.54,2.89,1.93
178,3.88,2.9,3.07,2.15
179,3.14,2.33,2.92,2.13
180,3.02,2.33,2.88,1.94
181,3.27,2,3.09,1.92
182,3.33,2.51,2.93,1.82
183,3.18,2.27,2.71,1.76
184,3.73,2.95,2.8,1.86
185,4.1,2.71,1.98,1.9
186,3.59,2.4,3.18,1.89
