CoefficientName,GearTypeCode,TemporalIndex,CatchSpeciesCode,Coefficient
AverageMultiplier,SWF,NA,BYT,0.01
AverageMultiplier,SWF,NA,YFT,0.02
AverageMultiplier,SWF,NA,SWF,0.03
AverageMultiplier,SWF,NA,OTHER,0.04
AverageMultiplier,TUNA,NA,BYT,0.05
AverageMultiplier,TUNA,NA,YFT,0.06
AverageMultiplier,TUNA,NA,SWF,0.07
AverageMultiplier,TUNA,NA,OTHER,0.08
ConstantPrice,SWF,NA,BYT,4.39265
ConstantPrice,SWF,NA,YFT,1.08743
ConstantPrice,SWF,NA,SWF,2.00341
ConstantPrice,SWF,NA,OTHER,1.20611
ConstantPrice,TUNA,NA,BYT,3.97749
ConstantPrice,TUNA,NA,YFT,2.98163
ConstantPrice,TUNA,NA,SWF,1.38622
ConstantPrice,TUNA,NA,OTHER,1.5736
MonthlyPrice,SWF,1,BYT,-0.12337
MonthlyPrice,SWF,1,YFT,0.40302
MonthlyPrice,SWF,1,SWF,0.324
MonthlyPrice,SWF,1,OTHER,0.08964
MonthlyPrice,SWF,2,BYT,0.09368
MonthlyPrice,SWF,2,YFT,1.97104
MonthlyPrice,SWF,2,SWF,-0.15958
MonthlyPrice,SWF,2,OTHER,0.3635
MonthlyPrice,SWF,3,BYT,-0.30384
MonthlyPrice,SWF,3,YFT,1.99587
MonthlyPrice,SWF,3,SWF,-0.52339
MonthlyPrice,SWF,3,OTHER,0.26401
MonthlyPrice,SWF,4,BYT,-0.42991
MonthlyPrice,SWF,4,YFT,2.15642
MonthlyPrice,SWF,4,SWF,-0.74355
MonthlyPrice,SWF,4,OTHER,0.02782
MonthlyPrice,SWF,5,BYT,-0.20631
MonthlyPrice,SWF,5,YFT,2.79005
MonthlyPrice,SWF,5,SWF,-0.27781
MonthlyPrice,SWF,5,OTHER,-0.31286
MonthlyPrice,SWF,6,BYT,-0.57788
MonthlyPrice,SWF,6,YFT,2.12581
MonthlyPrice,SWF,6,SWF,0.01876
MonthlyPrice,SWF,6,OTHER,0.00235
MonthlyPrice,SWF,7,BYT,0.13838
MonthlyPrice,SWF,7,YFT,1.80822
MonthlyPrice,SWF,7,SWF,-0.20132
MonthlyPrice,SWF,7,OTHER,0.73359
MonthlyPrice,SWF,8,BYT,0.31695
MonthlyPrice,SWF,8,YFT,0.72071
MonthlyPrice,SWF,8,SWF,0.00904
MonthlyPrice,SWF,8,OTHER,0.59335
MonthlyPrice,SWF,9,BYT,0
MonthlyPrice,SWF,9,YFT,0
MonthlyPrice,SWF,9,SWF,0
MonthlyPrice,SWF,9,OTHER,0
MonthlyPrice,SWF,10,BYT,-2.19058
MonthlyPrice,SWF,10,YFT,-0.64436
MonthlyPrice,SWF,10,SWF,0.09928
MonthlyPrice,SWF,10,OTHER,0.2154
MonthlyPrice,SWF,11,BYT,-0.83765
MonthlyPrice,SWF,11,YFT,0.30787
MonthlyPrice,SWF,11,SWF,-0.35542
MonthlyPrice,SWF,11,OTHER,-0.03132
MonthlyPrice,SWF,12,BYT,0
MonthlyPrice,SWF,12,YFT,0
MonthlyPrice,SWF,12,SWF,0
MonthlyPrice,SWF,12,OTHER,0
MonthlyPrice,TUNA,1,BYT,-0.56751
MonthlyPrice,TUNA,1,YFT,-0.40565
MonthlyPrice,TUNA,1,SWF,0.00411
MonthlyPrice,TUNA,1,OTHER,0.06975
MonthlyPrice,TUNA,2,BYT,0.09946
MonthlyPrice,TUNA,2,YFT,0.23463
MonthlyPrice,TUNA,2,SWF,-0.33134
MonthlyPrice,TUNA,2,OTHER,0.24119
MonthlyPrice,TUNA,3,BYT,0.67544
MonthlyPrice,TUNA,3,YFT,0.53721
MonthlyPrice,TUNA,3,SWF,-0.25302
MonthlyPrice,TUNA,3,OTHER,0.10603
MonthlyPrice,TUNA,4,BYT,0.4366
MonthlyPrice,TUNA,4,YFT,0.21073
MonthlyPrice,TUNA,4,SWF,0.24448
MonthlyPrice,TUNA,4,OTHER,-0.20146
MonthlyPrice,TUNA,5,BYT,-0.02708
MonthlyPrice,TUNA,5,YFT,-0.04827
MonthlyPrice,TUNA,5,SWF,0.51815
MonthlyPrice,TUNA,5,OTHER,-0.36046
MonthlyPrice,TUNA,6,BYT,-0.05112
MonthlyPrice,TUNA,6,YFT,-0.56287
MonthlyPrice,TUNA,6,SWF,0.97486
MonthlyPrice,TUNA,6,OTHER,0.06796
MonthlyPrice,TUNA,7,BYT,0.6361
MonthlyPrice,TUNA,7,YFT,-0.26541
MonthlyPrice,TUNA,7,SWF,0.6867
MonthlyPrice,TUNA,7,OTHER,0.17764
MonthlyPrice,TUNA,8,BYT,0.34094
MonthlyPrice,TUNA,8,YFT,-0.40569
MonthlyPrice,TUNA,8,SWF,0.42844
MonthlyPrice,TUNA,8,OTHER,-0.01346
MonthlyPrice,TUNA,9,BYT,-0.12238
MonthlyPrice,TUNA,9,YFT,-0.45488
MonthlyPrice,TUNA,9,SWF,0.13607
MonthlyPrice,TUNA,9,OTHER,-0.12276
MonthlyPrice,TUNA,10,BYT,-0.56687
MonthlyPrice,TUNA,10,YFT,-0.82838
MonthlyPrice,TUNA,10,SWF,0.11424
MonthlyPrice,TUNA,10,OTHER,-0.22023
MonthlyPrice,TUNA,11,BYT,-0.77141
MonthlyPrice,TUNA,11,YFT,-0.87102
MonthlyPrice,TUNA,11,SWF,-0.08827
MonthlyPrice,TUNA,11,OTHER,-0.30672
MonthlyPrice,TUNA,12,BYT,0
MonthlyPrice,TUNA,12,YFT,0
MonthlyPrice,TUNA,12,SWF,0
MonthlyPrice,TUNA,12,OTHER,0
YearlyPrice,SWF,1,BYT,-2.87467
YearlyPrice,SWF,1,YFT,-0.90915
YearlyPrice,SWF,1,SWF,0.59517
YearlyPrice,SWF,1,OTHER,0.65204
YearlyPrice,SWF,2,BYT,-0.84483
YearlyPrice,SWF,2,YFT,-0.67067
YearlyPrice,SWF,2,SWF,0.62112
YearlyPrice,SWF,2,OTHER,0.19236
YearlyPrice,SWF,3,BYT,-0.31251
YearlyPrice,SWF,3,YFT,-0.40467
YearlyPrice,SWF,3,SWF,0.13646
YearlyPrice,SWF,3,OTHER,0.3721
YearlyPrice,SWF,4,BYT,-0.8126
YearlyPrice,SWF,4,YFT,-1.11328
YearlyPrice,SWF,4,SWF,0.46765
YearlyPrice,SWF,4,OTHER,0.38098
YearlyPrice,SWF,5,BYT,0
YearlyPrice,SWF,5,YFT,0
YearlyPrice,SWF,5,SWF,0
YearlyPrice,SWF,5,OTHER,0
YearlyPrice,TUNA,1,BYT,-0.70716
YearlyPrice,TUNA,1,YFT,-0.24596
YearlyPrice,TUNA,1,SWF,0.34325
YearlyPrice,TUNA,1,OTHER,-0.01203
YearlyPrice,TUNA,2,BYT,-0.40061
YearlyPrice,TUNA,2,YFT,-0.24786
YearlyPrice,TUNA,2,SWF,0.2468
YearlyPrice,TUNA,2,OTHER,0.10112
YearlyPrice,TUNA,3,BYT,-0.23415
YearlyPrice,TUNA,3,YFT,-0.08952
YearlyPrice,TUNA,3,SWF,0.24105
YearlyPrice,TUNA,3,OTHER,0.05984
YearlyPrice,TUNA,4,BYT,-0.41462
YearlyPrice,TUNA,4,YFT,-0.59109
YearlyPrice,TUNA,4,SWF,0.27351
YearlyPrice,TUNA,4,OTHER,0.21912
YearlyPrice,TUNA,5,BYT,0
YearlyPrice,TUNA,5,YFT,0
YearlyPrice,TUNA,5,SWF,0
YearlyPrice,TUNA,5,OTHER,0
