CoefficientName,GearTypeCode,TemporalIndex,CatchSpeciesCode,Coefficient
YearlyCPUE,SWF,0,BYT,15.346
YearlyCPUE,SWF,0,YFT,15.605
YearlyCPUE,SWF,0,SWF,537.16
YearlyCPUE,SWF,0,OTHER,113.561
YearlyCPUE,SWF,1,BYT,44.121
YearlyCPUE,SWF,1,YFT,0
YearlyCPUE,SWF,1,SWF,146.18
YearlyCPUE,SWF,1,OTHER,115.351
YearlyCPUE,SWF,2,BYT,72.246
YearlyCPUE,SWF,2,YFT,11.581
YearlyCPUE,SWF,2,SWF,337.36
YearlyCPUE,SWF,2,OTHER,39.838
YearlyCPUE,SWF,3,BYT,0
YearlyCPUE,SWF,3,YFT,2.389
YearlyCPUE,SWF,3,SWF,25.46
YearlyCPUE,SWF,3,OTHER,0
YearlyCPUE,SWF,4,BYT,29.873
YearlyCPUE,SWF,4,YFT,39.05
YearlyCPUE,SWF,4,SWF,0
YearlyCPUE,SWF,4,OTHER,86.162
YearlyCPUE,TUNA,0,BYT,35.54
YearlyCPUE,TUNA,0,YFT,0
YearlyCPUE,TUNA,0,SWF,1.609
YearlyCPUE,TUNA,0,OTHER,54.185
YearlyCPUE,TUNA,1,BYT,46.92
YearlyCPUE,TUNA,1,YFT,17.197
YearlyCPUE,TUNA,1,SWF,0
YearlyCPUE,TUNA,1,OTHER,44.645
YearlyCPUE,TUNA,2,BYT,0
YearlyCPUE,TUNA,2,YFT,14.763
YearlyCPUE,TUNA,2,SWF,0.575
YearlyCPUE,TUNA,2,OTHER,37.225
YearlyCPUE,TUNA,3,BYT,23.88
YearlyCPUE,TUNA,3,YFT,3.484
YearlyCPUE,TUNA,3,SWF,0.811
YearlyCPUE,TUNA,3,OTHER,0
YearlyCPUE,TUNA,4,BYT,11.22
YearlyCPUE,TUNA,4,YFT,17.59
YearlyCPUE,TUNA,4,SWF,3.264
YearlyCPUE,TUNA,4,OTHER,8.827
MonthlyCPUE,SWF,1,BYT,114.908
MonthlyCPUE,SWF,1,YFT,24.969
MonthlyCPUE,SWF,1,SWF,1683.25
MonthlyCPUE,SWF,1,OTHER,24.378
MonthlyCPUE,SWF,2,BYT,84.672
MonthlyCPUE,SWF,2,YFT,18.01
MonthlyCPUE,SWF,2,SWF,2081.65
MonthlyCPUE,SWF,2,OTHER,0
MonthlyCPUE,SWF,3,BYT,0
MonthlyCPUE,SWF,3,YFT,2.066
MonthlyCPUE,SWF,3,SWF,2205.17
MonthlyCPUE,SWF,3,OTHER,11.854
MonthlyCPUE,SWF,4,BYT,10.335
MonthlyCPUE,SWF,4,YFT,0
MonthlyCPUE,SWF,4,SWF,1579.54
MonthlyCPUE,SWF,4,OTHER,112.079
MonthlyCPUE,SWF,5,BYT,67.606
MonthlyCPUE,SWF,5,YFT,46.628
MonthlyCPUE,SWF,5,SWF,1269.23
MonthlyCPUE,SWF,5,OTHER,300.65
MonthlyCPUE,SWF,6,BYT,16.523
MonthlyCPUE,SWF,6,YFT,58.344
MonthlyCPUE,SWF,6,SWF,740.77
MonthlyCPUE,SWF,6,OTHER,316.155
MonthlyCPUE,SWF,7,BYT,136.362
MonthlyCPUE,SWF,7,YFT,22.101
MonthlyCPUE,SWF,7,SWF,548.52
MonthlyCPUE,SWF,7,OTHER,245.268
MonthlyCPUE,SWF,8,BYT,119.027
MonthlyCPUE,SWF,8,YFT,73.449
MonthlyCPUE,SWF,8,SWF,0
MonthlyCPUE,SWF,8,OTHER,443.528
MonthlyCPUE,SWF,9,BYT,-9999
MonthlyCPUE,SWF,9,YFT,-9999
MonthlyCPUE,SWF,9,SWF,-9999
MonthlyCPUE,SWF,9,OTHER,-9999
