id,Longitude,Latitude,Area,OceanRegionCode,IsHome,SWF_BYT,SWF_YFT,SWF_SWF,SWF_OTHER,TUNA_BYT,TUNA_YFT,TUNA_SWF,TUNA_OTHER,SWF_LOG,SWF_LTH,TUNA_LOG,TUNA_LTH,GridAggregationID
1,135,0,5,EPO,0,68.39512211,14.73471262,174.4939942,-171.7388238,578.0925373,198.2177832,31.35318761,255.184516,0,0,0,0,1
2,136,0,5,EPO,0,-9999,-9999,-9999,-9999,475.4992859,149.4304064,56.45841885,256.6246915,0,0,0,0,1
3,137,0,5,EPO,0,-9999,-9999,-9999,-9999,371.5869974,80.61584455,51.46170351,271.5522658,0,0,0,0,1
4,138,0,5,EPO,0,157.4532336,14.16822701,861.504422,56.04249892,-9999,-9999,-9999,-9999,0,0,0,0,2
5,139,0,5,EPO,0,86.83718874,62.60811996,289.2393,99.73654042,398.4359209,181.2332288,44.94830701,371.8884944,0,0,0,0,2
6,140,0,5,EPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,2
7,141,0,5,EPO,0,-9999,-9999,-9999,-9999,515.2508152,47.39717362,49.91784989,216.3428623,0,0,0,0,3
8,142,0,5,EPO,0,-9999,-9999,-9999,-9999,760.3107385,164.6124272,58.18591736,221.257481,0,0,0,0,3
9,143,0,5,EPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,3
10,144,0,5,EPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,4
11,145,0,5,EPO,0,-9999,-9999,-9999,-9999,453.0976713,151.1613888,43.87419059,556.93816,0,0,0,0,4
12,146,0,5,EPO,0,-9999,-9999,-9999,-9999,591.177336,128.7463617,97.52004159,258.910382,0,0,0,0,4
13,147,0,5,EPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,5
14,148,0,5,EPO,0,-15.00213045,-6.282220716,-41.651964,-234.913599,-9999,-9999,-9999,-9999,0,0,0,0,5
15,149,0,5,EPO,0,-9999,-9999,-9999,-9999,502.2148971,-11.3639224,49.52305462,418.3673769,0,0,0,0,5
16,150,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,6
17,151,0,5,WCPO,0,-9999,-9999,-9999,-9999,337.879025,219.194378,-0.131924366,206.8721729,0,0,0,0,6
