Vessel,Permit,Type,Size,Fishcapacity,FuelCapacity,FuelPerDay,Speed,TripLengthSWF,TripLengthTUNA,MAXDaysInSea,OwnerOperated,OwnerEthnicity,RevenueShare,HookSWF,HookTUNA,Crew,FixedCost,WagePerDay,OperatingCostSWF,OperatingCostTUNA,TravelCost,NetWork,CPUE_SWF_BYT,CPUE_SWF_YFT,CPUE_SWF_SWF,CPUE_SWF_OTHER,CPUE_TUNA_BYT,CPUE_TUNA_YFT,CPUE_TUNA_SWF,CPUE_TUNA_OTHER,PRICE_TUNA_BYT,PRICE_TUNA_YFT,PRICE_TUNA_SWF,PRICE_TUNA_OTHER,PRICE_SWF_BYT,PRICE_SWF_YFT,PRICE_SWF_SWF,PRICE_SWF_OTHER,IPUE_LOG,IPUE_LTH
1,0,T,1,13671,1724,68,372,0,13,21,0,0,0,0,1.89117,0,0,380.242,371.778,371.778,275.686,22,-9999,-9999,-9999,-9999,-192.54,-209.668,-7.619,-189.504,-0.07044,0.51584,-0.61848,0.08137,-0.07044,0.51584,-0.61848,0.08137,1,1
2,0,T,2,11956,2174,119,420,0,13,22,0,0,0,0,1.76034,0,0,109.03,363.265,363.265,339.59,50,-9999,-9999,-9999,-9999,-205.81,-229.787,-6.781,-219.064,-0.07934,0.23494,-0.89806,0.18111,-0.07934,0.23494,-0.89806,0.18111,1,1
3,0,T,2,20664,4134,111,295.2,0,19,42,0,0,0,0,1.92525,0,0,512.16,360.344,360.344,429.39,73,-9999,-9999,-9999,-9999,-189.98,-208.629,-8.513,-173.021,-0.02006,-0.03284,-0.44985,0.0535,-0.02006,-0.03284,-0.44985,0.0535,1,1
4,0,T,1,13788,4379,117,297.6,0,17,29,0,0,0,0,1.77449,0,0,33.04,280.808,280.808,505.05,110,-9999,-9999,-9999,-9999,-236.53,-220.226,-6.52,-240.759,-0.36984,0.19979,-0.1818,0.05501,-0.36984,0.19979,-0.1818,0.05501,1,1
5,0,T,2,28267,3616,153,252,0,17,31,0,0,0,0,1.96954,0,0,424.54,406.784,406.784,433.592,51,-9999,-9999,-9999,-9999,-164.27,-209.039,-7.71,-183.832,-0.14145,0.15557,-0.2498,0.02939,-0.14145,0.15557,-0.2498,0.02939,1,1
6,0,T,2,30843,2200,149,249.6,0,19,25,0,0,0,0,2.40395,0,0,695.49,388.319,388.319,237.41,106,-9999,-9999,-9999,-9999,-102.74,-200.016,-1.529,-159.405,0.3745,0.38654,0.31767,0.00527,0.3745,0.38654,0.31767,0.00527,1,1
7,0,T,2,19681,6963,179,261.6,0,17,39,0,0,0,0,1.93898,0,0,46.97,590.955,590.955,832.16,84,-9999,-9999,-9999,-9999,-152.87,-213.829,-8.034,-196.396,-0.09154,-0.19979,-0.37473,0.06304,-0.09154,-0.19979,-0.37473,0.06304,1,1
8,0,T,2,27789,4609,425,405.6,0,19,27,0,0,0,0,2.05638,0,0,859.58,483.802,483.802,475.86,75,-9999,-9999,-9999,-9999,-123.3,-168.589,-3.52,-196.462,0.06766,0.05041,0.12054,0.20625,0.06766,0.05041,0.12054,0.20625,1,1
9,0,M,2,33379,9600,170,266.4,38,24,38,0,0,0,0.73386,1.96555,0,0,314.74,507.646,507.646,505.25,70,-131.827,6.435,-814.2,-212.626,-173.68,-202.903,-9.207,-135.187,-0.48128,0.09383,-0.22592,-0.08516,0.94813,-0.90641,-0.46406,0.18803,1,1
10,0,T,1,22466,2426,128,312,0,18,28,0,0,0,0,2.17938,0,0,380.242,371.778,371.778,275.686,85,-9999,-9999,-9999,-9999,-101.65,-205.923,-4.936,-187.045,-0.30541,-0.21826,-0.35317,0.16328,-0.30541,-0.21826,-0.35317,0.16328,1,1
11,0,T,2,25448,3938,230,300,0,19,31,0,0,0,0,2.29202,0,0,633.12,297.128,297.128,424.47,32,-9999,-9999,-9999,-9999,-151.73,-202.173,-8.33,-155.569,0.10414,0.27776,0.18785,0.18753,0.10414,0.27776,0.18785,0.18753,1,1
12,0,T,2,25738,3307,181,237.6,0,20,33,0,0,0,0,2.06764,0,0,610.21,340.137,340.137,338.38,94,-9999,-9999,-9999,-9999,-135.2,-203.798,-6.443,-180.395,-0.09712,0.22591,0.06385,0.05823,-0.09712,0.22591,0.06385,0.05823,1,1
13,0,T,1,16098,1448,117,297.6,0,15,26,0,0,0,0,1.97497,0,0,418.3,426.674,426.674,192.58,111,-9999,-9999,-9999,-9999,-174.71,-208.04,-12.182,-189.38,0.05722,0.22161,-0.80042,-0.01799,0.05722,0.22161,-0.80042,-0.01799,1,1
14,0,T,2,30750,2724,149,220.8,0,20,26,0,0,0,0,2.3696,0,0,678.1,282.896,282.896,268.66,106,-9999,-9999,-9999,-9999,-157.78,-200.584,-6.129,-180.751,-0.03543,0.21685,-0.08008,-0.02299,-0.03543,0.21685,-0.08008,-0.02299,1,1
15,0,T,1,21209,2467,138,280.8,0,18,27,0,0,0,0,2.07357,0,0,271.9,381.149,381.149,276.6,5,-9999,-9999,-9999,-9999,-186.36,-207.614,-5.676,-178.327,-0.05263,0.20969,-0.00496,0.22298,-0.05263,0.20969,-0.00496,0.22298,1,1
16,0,T,2,21352,3873,191,247.2,0,18,29,0,0,0,0,2.08687,0,0,424.54,406.784,406.784,433.592,80,-9999,-9999,-9999,-9999,-149.1,-212.075,-6.078,-195.815,-0.1406,0.00165,-0.2064,0.10194,-0.1406,0.00165,-0.2064,0.10194,1,1
