Vessel,latitude,longitude
1,17,161
1,18,155
1,18,157
1,18,159
1,18,160
1,18,161
1,19,158
1,20,153
1,20,158
1,20,159
1,20,160
1,20,161
1,20,162
1,21,152
1,21,162
1,22,153
1,22,154
1,22,155
1,22,156
1,22,157
1,23,154
1,23,155
1,23,156
1,23,157
1,23,158
1,24,151
1,24,156
1,24,157
1,25,156
1,25,157
1,26,156
1,28,157
2,16,158
2,17,159
2,18,157
2,18,158
2,18,160
2,18,161
2,19,158
2,19,159
2,19,160
2,19,161
2,20,154
2,20,159
2,20,160
2,20,161
2,20,162
2,22,152
2,22,153
2,22,154
2,22,155
2,23,156
2,25,157
3,5,163
3,14,160
3,14,163
3,14,164
3,14,165
3,14,166
3,14,167
3,15,156
3,15,157
3,15,160
3,15,162
3,15,163
3,15,164
3,15,166
3,15,167
3,16,159
3,16,160
3,16,161
3,16,162
3,16,163
3,16,166
3,16,167
3,17,152
3,17,154
3,17,155
3,17,156
3,17,158
3,18,159
3,18,166
3,19,153
3,19,154
3,19,158
3,21,154
3,21,155
3,21,156
3,21,163
3,22,154
3,22,155
3,22,156
3,22,162
3,22,163
3,22,164
3,22,165
3,22,167
3,23,155
3,23,156
3,23,157
3,23,158
3,25,145
3,30,150
3,30,163
3,30,165
4,13,164
4,14,158
4,14,166
4,15,156
4,15,162
4,15,164
4,16,155
4,16,158
4,16,159
4,16,160
4,16,161
4,16,162
4,17,157
4,17,158
4,17,159
4,17,160
4,17,161
4,19,154
4,19,158
4,20,154
4,20,159
4,20,160
4,20,161
4,20,162
4,21,154
4,21,155
4,21,163
4,22,152
4,22,153
4,22,154
4,22,155
4,23,156
4,24,158
4,26,156
5,6,164
5,7,161
5,12,162
5,12,165
5,14,159
5,14,163
5,15,158
5,15,159
5,15,161
5,15,162
5,15,163
5,16,164
5,17,156
5,17,158
5,17,159
5,17,160
5,17,161
5,17,162
5,17,163
5,17,165
5,19,155
5,19,158
5,19,159
5,20,153
5,20,154
5,20,155
5,20,158
5,20,159
5,20,163
5,21,153
5,21,154
5,21,155
5,21,156
5,21,168
5,22,154
5,22,155
5,22,156
5,23,154
5,23,155
5,23,156
5,23,157
5,24,152
5,24,153
5,24,154
5,24,155
5,25,152
5,25,153
5,25,154
5,27,154
5,28,158
5,28,160
5,29,148
5,29,154
5,29,155
5,29,158
5,29,160
6,6,164
6,7,161
6,13,156
6,15,155
6,15,156
6,15,157
6,15,163
6,15,164
6,15,165
6,18,154
